Symbol,Direction Accuracy (%),Correct Predictions,Incorrect Predictions,Up Predictions,Down Predictions,Actual Ups,Actual Downs,Count
UAL,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
PRU,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
TMUS,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
ENPH,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
AVY,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
WDAY,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
LUV,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
IT,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
ECL,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
IPG,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
STE,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
PNC,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
EBAY,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CLX,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
KMB,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CTAS,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
AMT,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
INTC,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
NCLH,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
CRWD,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
CMG,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
META,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
RF,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
V,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
NEM,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
ON,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
LOW,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
HPE,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
LRCX,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
NVDA,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
GD,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
APA,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
TROW,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
PEG,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
VST,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ADBE,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
ATO,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
NWSA,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
VTR,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Total,62.0,62.0,38.0,78.0,22.0,60.0,40.0,100.0
